,bio_group,time_label,scenario,percent_change,sensitivity,sensitivity_negative
0,benthic_invertebrates,spill year,AP-1,0.1845389728655111,0.5,-0.5
1,benthic_invertebrates,spill year,AP-2,0.1503188635390498,0.5,-0.5
2,benthic_invertebrates,spill year,AP-3,0.0442716662692688,0.5,-0.5
3,benthic_invertebrates,spill year,AP-4,0.0237040643056724,0.5,-0.5
4,benthic_invertebrates,spill year,TP-1,1.3307182748834403,0.5,-0.5
5,benthic_invertebrates,spill year,TP-2,0.9688579585373835,0.5,-0.5
6,benthic_invertebrates,spill year,TP-3,0.3280075688042799,0.5,-0.5
7,benthic_invertebrates,spill year,TP-4,0.3377062641587245,0.5,-0.5
8,benthic_invertebrates,spill year,EB-1,0.1524001533761357,0.5,-0.5
9,benthic_invertebrates,spill year,EB-2,0.1487513684567406,0.5,-0.5
10,benthic_invertebrates,spill year,EB-3,0.0428593809743281,0.5,-0.5
11,benthic_invertebrates,spill year,EB-4,0.0357663596003992,0.5,-0.5
12,benthic_invertebrates,spill year,JF-1,0.3986710773511426,0.5,-0.5
13,benthic_invertebrates,spill year,JF-2,0.4002689952894211,0.5,-0.5
14,benthic_invertebrates,spill year,JF-3,0.1318937769187091,0.5,-0.5
15,benthic_invertebrates,spill year,JF-4,0.1277606718319366,0.5,-0.5
16,benthic_invertebrates,10 years later,AP-1,5.140299708340296,0.5,-0.5
17,benthic_invertebrates,10 years later,AP-2,1.0641097879320611,0.5,-0.5
18,benthic_invertebrates,10 years later,AP-3,4.127035896288182,0.5,-0.5
19,benthic_invertebrates,10 years later,AP-4,4.940956505317379,0.5,-0.5
20,benthic_invertebrates,10 years later,TP-1,6.33592944471639,0.5,-0.5
21,benthic_invertebrates,10 years later,TP-2,4.0138980351981,0.5,-0.5
22,benthic_invertebrates,10 years later,TP-3,5.040237350455017,0.5,-0.5
23,benthic_invertebrates,10 years later,TP-4,4.838007679384721,0.5,-0.5
24,benthic_invertebrates,10 years later,EB-1,2.797958751392755,0.5,-0.5
25,benthic_invertebrates,10 years later,EB-2,5.044586536855784,0.5,-0.5
26,benthic_invertebrates,10 years later,EB-3,6.396782996498606,0.5,-0.5
27,benthic_invertebrates,10 years later,EB-4,2.983063353202178,0.5,-0.5
28,benthic_invertebrates,10 years later,JF-1,1.3485527047559136,0.5,-0.5
29,benthic_invertebrates,10 years later,JF-2,1.304170456855358,0.5,-0.5
30,benthic_invertebrates,10 years later,JF-3,1.2263816844827626,0.5,-0.5
31,benthic_invertebrates,10 years later,JF-4,1.5822142626431497,0.5,-0.5
32,benthic_invertebrates,20 years later,AP-1,9.403669256355531,0.5,-0.5
33,benthic_invertebrates,20 years later,AP-2,0.4806163147619994,0.5,-0.5
34,benthic_invertebrates,20 years later,AP-3,7.013496497730068,0.5,-0.5
35,benthic_invertebrates,20 years later,AP-4,9.509860331067214,0.5,-0.5
36,benthic_invertebrates,20 years later,TP-1,-1.810779019821948,0.5,-0.5
37,benthic_invertebrates,20 years later,TP-2,-2.9373763058371054,0.5,-0.5
38,benthic_invertebrates,20 years later,TP-3,-1.131593765171548,0.5,-0.5
39,benthic_invertebrates,20 years later,TP-4,-2.7672498903862155,0.5,-0.5
40,benthic_invertebrates,20 years later,EB-1,4.537667650484847,0.5,-0.5
41,benthic_invertebrates,20 years later,EB-2,6.854771591357065,0.5,-0.5
42,benthic_invertebrates,20 years later,EB-3,12.23614545502886,0.5,-0.5
43,benthic_invertebrates,20 years later,EB-4,2.5817787231515257,0.5,-0.5
44,benthic_invertebrates,20 years later,JF-1,-0.8570510210761589,0.5,-0.5
45,benthic_invertebrates,20 years later,JF-2,-0.0900891024493582,0.5,-0.5
46,benthic_invertebrates,20 years later,JF-3,0.220911497934392,0.5,-0.5
47,benthic_invertebrates,20 years later,JF-4,-0.8051080758960089,0.5,-0.5
48,cetaceans,spill year,AP-1,-0.0218711598384246,0.4,-0.4
49,cetaceans,spill year,AP-2,-0.0241918957284906,0.4,-0.4
50,cetaceans,spill year,AP-3,-0.0203942147227687,0.4,-0.4
51,cetaceans,spill year,AP-4,-0.0177569086739037,0.4,-0.4
52,cetaceans,spill year,TP-1,-0.1475999855129364,0.4,-0.4
53,cetaceans,spill year,TP-2,-0.1694715913075517,0.4,-0.4
54,cetaceans,spill year,TP-3,-0.0450864609040763,0.4,-0.4
55,cetaceans,spill year,TP-4,-0.0679310945951192,0.4,-0.4
56,cetaceans,spill year,EB-1,-0.0537645406532186,0.4,-0.4
57,cetaceans,spill year,EB-2,-0.0501487296964703,0.4,-0.4
58,cetaceans,spill year,EB-3,-0.0072711386789531,0.4,-0.4
59,cetaceans,spill year,EB-4,-0.0025595042096157,0.4,-0.4
60,cetaceans,spill year,JF-1,-0.0842826151629103,0.4,-0.4
61,cetaceans,spill year,JF-2,-0.076115627331651,0.4,-0.4
62,cetaceans,spill year,JF-3,-0.0340035801488181,0.4,-0.4
63,cetaceans,spill year,JF-4,-0.0371012165604714,0.4,-0.4
64,cetaceans,10 years later,AP-1,0.7312563803600357,0.4,-0.4
65,cetaceans,10 years later,AP-2,-0.2745766848485923,0.4,-0.4
66,cetaceans,10 years later,AP-3,0.782843658004309,0.4,-0.4
67,cetaceans,10 years later,AP-4,0.6221390906416319,0.4,-0.4
68,cetaceans,10 years later,TP-1,-2.010181062026379,0.4,-0.4
