,bio_group,scenario,percent_change
0,Benthopelagic,AP-1,0.6364693859272463
1,Small_pelagic_fish,AP-1,-0.494294826852253
2,Small_Demersal_fish,AP-1,0.7275371274217635
3,Large_Demersal_fish,AP-1,0.3618215459677065
4,Small_Flatfish,AP-1,0.0431369775609602
5,Large_Flatfish,AP-1,-1.6993991302447498
6,Benthopelagic,AP-2,0.3465278681124395
7,Small_pelagic_fish,AP-2,4.611791183166768
8,Small_Demersal_fish,AP-2,0.2620367749140484
9,Large_Demersal_fish,AP-2,0.2616494003153868
10,Small_Flatfish,AP-2,0.5244298384965029
11,Large_Flatfish,AP-2,0.8172424915748598
12,Benthopelagic,AP-3,2.7548466177289948
13,Small_pelagic_fish,AP-3,60.54435919256904
14,Small_Demersal_fish,AP-3,0.0168310890443608
15,Large_Demersal_fish,AP-3,0.0300175110312717
16,Small_Flatfish,AP-3,-0.6237626313220701
17,Large_Flatfish,AP-3,11.952815884775417
18,Benthopelagic,AP-4,1.4951892434988354
19,Small_pelagic_fish,AP-4,60.8358752169434
20,Small_Demersal_fish,AP-4,-0.2985733797470667
21,Large_Demersal_fish,AP-4,0.1452100055207839
22,Small_Flatfish,AP-4,-0.0150201402707983
23,Large_Flatfish,AP-4,7.0330076165914
24,Benthopelagic,TP-1,0.6331529173668405
25,Small_pelagic_fish,TP-1,60.00895205057724
26,Small_Demersal_fish,TP-1,-1.7063553468397767
27,Large_Demersal_fish,TP-1,0.486985587596509
28,Small_Flatfish,TP-1,1.335886500084684
29,Large_Flatfish,TP-1,13.95043140155866
30,Benthopelagic,TP-2,1.810285342357562
31,Small_pelagic_fish,TP-2,60.1709647540779
32,Small_Demersal_fish,TP-2,-1.2614406310902635
33,Large_Demersal_fish,TP-2,0.2521260229925837
34,Small_Flatfish,TP-2,0.1368337100907446
35,Large_Flatfish,TP-2,12.426460103953628
36,Benthopelagic,TP-3,1.955066129330638
37,Small_pelagic_fish,TP-3,6.045560967160232
38,Small_Demersal_fish,TP-3,0.5810952490932773
39,Large_Demersal_fish,TP-3,0.9473484361812812
40,Small_Flatfish,TP-3,0.9545985800232648
41,Large_Flatfish,TP-3,-1.5640317082734032
42,Benthopelagic,TP-4,0.8686421941002141
43,Small_pelagic_fish,TP-4,57.43339743834469
44,Small_Demersal_fish,TP-4,-2.1679725812562745
45,Large_Demersal_fish,TP-4,0.4117684414278477
46,Small_Flatfish,TP-4,0.7373301737734739
47,Large_Flatfish,TP-4,13.549852571841068
