,bio_group,time_label,scenario,percent_change,sensitivity,sensitivity_negative
0,benthic grazers,spill year,AP-FlTs,-3.296988626555475e-06,0.4,-0.4
1,other filter feeders,spill year,AP-FlTs,1.0210503553764738e-06,0.0,-0.0
2,macrobenthos,spill year,AP-FlTs,0.0011370509398478,0.09,-0.09
3,sponges,spill year,AP-FlTs,0.0003908168126898,0.0,-0.0
4,bivalves,spill year,AP-FlTs,0.1478047215966116,0.02,-0.02
5,crabs,spill year,AP-FlTs,0.0084651592375806,0.02,-0.02
6,dungeness crabs,spill year,AP-FlTs,-0.0088119100910555,0.004,-0.004
7,benthic grazers,spill year,AP-FlTn,-1.830580631523304e-06,0.4,-0.4
8,other filter feeders,spill year,AP-FlTn,6.321280388021933e-07,0.0,-0.0
9,macrobenthos,spill year,AP-FlTn,0.0042972207757507,0.09,-0.09
10,sponges,spill year,AP-FlTn,0.0061034527003567,0.0,-0.0
11,bivalves,spill year,AP-FlTn,0.5466569968744617,0.02,-0.02
12,crabs,spill year,AP-FlTn,0.0368190390364508,0.02,-0.02
13,dungeness crabs,spill year,AP-FlTn,-0.0116289377212419,0.004,-0.004
14,benthic grazers,spill year,AP-FhTs,-7.004076352234989e-06,0.4,-0.4
15,other filter feeders,spill year,AP-FhTs,4.854007196186672e-07,0.0,-0.0
16,macrobenthos,spill year,AP-FhTs,0.0004413273977599,0.09,-0.09
17,sponges,spill year,AP-FhTs,0.0007729388395771,0.0,-0.0
18,bivalves,spill year,AP-FhTs,0.123979149139819,0.02,-0.02
19,crabs,spill year,AP-FhTs,0.0038536593836457,0.02,-0.02
20,dungeness crabs,spill year,AP-FhTs,-0.002241620298149,0.004,-0.004
21,benthic grazers,spill year,AP-FhTn,-6.977307998035087e-06,0.4,-0.4
22,other filter feeders,spill year,AP-FhTn,5.109494161104067e-07,0.0,-0.0
23,macrobenthos,spill year,AP-FhTn,0.0003224777151311,0.09,-0.09
24,sponges,spill year,AP-FhTn,0.0003028272465011,0.0,-0.0
25,bivalves,spill year,AP-FhTn,0.0769682566066132,0.02,-0.02
26,crabs,spill year,AP-FhTn,0.002601336017749,0.02,-0.02
27,dungeness crabs,spill year,AP-FhTn,-0.002389746075293,0.004,-0.004
28,benthic grazers,spill year,TP-FlTs,6.447363245509763e-05,0.4,-0.4
29,other filter feeders,spill year,TP-FlTs,1.6148826476047873e-05,0.0,-0.0
30,macrobenthos,spill year,TP-FlTs,0.0418249612007981,0.09,-0.09
31,sponges,spill year,TP-FlTs,0.0097763427026054,0.0,-0.0
32,bivalves,spill year,TP-FlTs,2.792550436600316,0.02,-0.02
33,crabs,spill year,TP-FlTs,0.3355118337373008,0.02,-0.02
34,dungeness crabs,spill year,TP-FlTs,0.0108337672300784,0.004,-0.004
35,benthic grazers,spill year,TP-FlTn,6.368791749533642e-05,0.4,-0.4
36,other filter feeders,spill year,TP-FlTn,1.2263916016053145e-05,0.0,-0.0
37,macrobenthos,spill year,TP-FlTn,0.0435663191701518,0.09,-0.09
38,sponges,spill year,TP-FlTn,0.007751087460428,0.0,-0.0
39,bivalves,spill year,TP-FlTn,2.5040798899552907,0.02,-0.02
40,crabs,spill year,TP-FlTn,0.3092844359266156,0.02,-0.02
41,dungeness crabs,spill year,TP-FlTn,0.0041484544641479,0.004,-0.004
42,benthic grazers,spill year,TP-FhTs,6.154546272618688e-06,0.4,-0.4
43,other filter feeders,spill year,TP-FhTs,3.153535055311352e-06,0.0,-0.0
44,macrobenthos,spill year,TP-FhTs,0.0081890801647332,0.09,-0.09
45,sponges,spill year,TP-FhTs,0.0051321333737197,0.0,-0.0
46,bivalves,spill year,TP-FhTs,0.9197497788511422,0.02,-0.02
47,crabs,spill year,TP-FhTs,0.0554162479986297,0.02,-0.02
48,dungeness crabs,spill year,TP-FhTs,-0.0088558059350485,0.004,-0.004
49,benthic grazers,spill year,TP-FhTn,1.6685054005094457e-05,0.4,-0.4
50,other filter feeders,spill year,TP-FhTn,2.989413006027064e-06,0.0,-0.0
51,macrobenthos,spill year,TP-FhTn,0.0083580114353054,0.09,-0.09
52,sponges,spill year,TP-FhTn,0.0008791795472973,0.0,-0.0
53,bivalves,spill year,TP-FhTn,0.9292255059793586,0.02,-0.02
54,crabs,spill year,TP-FhTn,0.0625058806695388,0.02,-0.02
55,dungeness crabs,spill year,TP-FhTn,-0.0060177360520996,0.004,-0.004
56,benthic grazers,spill year,EB-FlTs,-7.742766594542871e-06,0.4,-0.4
57,other filter feeders,spill year,EB-FlTs,1.4385511448722357e-06,0.0,-0.0
58,macrobenthos,spill year,EB-FlTs,0.0204872012099732,0.09,-0.09
59,sponges,spill year,EB-FlTs,0.0452125890271881,0.0,-0.0
60,bivalves,spill year,EB-FlTs,0.4491301186693386,0.02,-0.02
61,crabs,spill year,EB-FlTs,0.0421624549719945,0.02,-0.02
62,dungeness crabs,spill year,EB-FlTs,-0.0774828426794549,0.004,-0.004
63,benthic grazers,spill year,EB-FlTn,-1.7248075656617345e-05,0.4,-0.4
64,other filter feeders,spill year,EB-FlTn,1.4861178510017226e-06,0.0,-0.0
65,macrobenthos,spill year,EB-FlTn,0.0066443893240286,0.09,-0.09
66,sponges,spill year,EB-FlTn,0.2948262348085873,0.0,-0.0
67,bivalves,spill year,EB-FlTn,0.5040922341701171,0.02,-0.02
68,crabs,spill year,EB-FlTn,0.0503152200911127,0.02,-0.02
69,dungeness crabs,spill year,EB-FlTn,-0.0697882712673236,0.004,-0.004
70,benthic grazers,spill year,EB-FhTs,-3.443779161838023e-06,0.4,-0.4
71,other filter feeders,spill year,EB-FhTs,4.938596198655887e-07,0.0,-0.0
72,macrobenthos,spill year,EB-FhTs,0.0009987985856385,0.09,-0.09
73,sponges,spill year,EB-FhTs,0.0081779743289933,0.0,-0.0
74,bivalves,spill year,EB-FhTs,0.1019562702125886,0.02,-0.02
75,crabs,spill year,EB-FhTs,0.0046580566991583,0.02,-0.02
76,dungeness crabs,spill year,EB-FhTs,-0.0126341920328787,0.004,-0.004
77,benthic grazers,spill year,EB-FhTn,-4.697069833081713e-06,0.4,-0.4
78,other filter feeders,spill year,EB-FhTn,1.2369660851163644e-07,0.0,-0.0
79,macrobenthos,spill year,EB-FhTn,0.0003131852277737,0.09,-0.09
80,sponges,spill year,EB-FhTn,0.003776141408851,0.0,-0.0
81,bivalves,spill year,EB-FhTn,0.0973985475456906,0.02,-0.02
82,crabs,spill year,EB-FhTn,0.0030684440575301,0.02,-0.02
83,dungeness crabs,spill year,EB-FhTn,-0.0067811610855561,0.004,-0.004
84,benthic grazers,spill year,JF-FlTs,5.643124456611304e-06,0.4,-0.4
85,other filter feeders,spill year,JF-FlTs,1.2343029243133684e-05,0.0,-0.0
86,macrobenthos,spill year,JF-FlTs,0.0279653335938601,0.09,-0.09
87,sponges,spill year,JF-FlTs,0.0016868343335696,0.0,-0.0
88,bivalves,spill year,JF-FlTs,1.4411837011875095,0.02,-0.02
89,crabs,spill year,JF-FlTs,0.1962565724473952,0.02,-0.02
90,dungeness crabs,spill year,JF-FlTs,0.0200733238902017,0.004,-0.004
91,benthic grazers,spill year,JF-FlTn,9.440796722159916e-06,0.4,-0.4
92,other filter feeders,spill year,JF-FlTn,8.567650144897243e-06,0.0,-0.0
93,macrobenthos,spill year,JF-FlTn,0.0224286099586468,0.09,-0.09
94,sponges,spill year,JF-FlTn,0.0015395081725211,0.0,-0.0
95,bivalves,spill year,JF-FlTn,1.0857251898298337,0.02,-0.02
